display_name,dba,legal_name,address,zip,website,logo,license_id,license_description,class,type,original_issue,effective,expires,lat,lon,assignment_method
1064 sam deli inc,,1064 sam deli inc,1064 Broadway,11221,,,0524-26-44819,Temporary retail,0524,temporary,2026-06-02,2026-06-02,2026-11-29,40.69472,-73.93144,geoclient
1872 FULTON DELI AND GROCERY 1,1872 FULTON DELI AND GROCERY 1,1872 FULTON DELI AND GROCERY 1 CORP.,1872 FULTON ST,11233,,,0081-23-103415,Grocery Store,0081,license,2025-12-23,2026-02-01,2029-01-31,40.67904,-73.92476,pip
194 THROOP FOOD CORP,,194 THROOP FOOD CORP,777 PARK AVE,11206,,,0081-21-101675,Grocery Store,0081,license,2024-10-25,2024-11-01,2027-10-31,40.6982,-73.94425,pip
232,232,JM232 INC,232 TAAFFE PLACE,11205,,,0340-23-134369,Restaurant,0340,license,2025-03-16,2025-04-01,2027-03-31,40.69088,-73.95952,pip
"3 Corks & a Screw, LLC",,"3 Corks & a Screw, LLC",602 Marcy Ave,11206,,,0524-26-43289,Temporary retail,0524,temporary,2026-05-15,2026-05-15,2026-11-11,40.69403,-73.94895,pip
331 Quincy Market Corp,,331 Quincy Market Corp,331 Nostrand Ave,11216,,,0081-26-137335,Grocery Store,0081,license,2026-03-11,2026-03-11,2029-02-28,40.68706,-73.9509,pip
367 STUYVESANT GROCERY,367 STUYVESANT GROCERY,357 STUYVESANT GROCERY INC,357 STUYVESANT AVENUE,11233,,,0081-21-109583,Grocery Store,0081,license,2024-04-02,2024-04-02,2027-03-31,40.68204,-73.93186,pip
408 MONROE LIQUOR & WINE INC,,408 MONROE LIQUOR & WINE INC,408 NOSTRAND AVE,11216,,,0100-21-115023,Liquor Store,0100,license,2024-02-07,2024-03-01,2027-02-28,40.6853,-73.95055,pip
438 Putnam Deli Corp,,438 Putnam Deli Corp,438 Nostrand Ave,11216,,,0524-26-50780,Temporary retail,0524,temporary,2026-08-05,2026-08-05,2027-02-01,40.68418,-73.95033,pip
544 FOOD MARKET CORP,,544 FOOD MARKET CORP,544 THROOP AVE,11221,,,0081-22-130089,Grocery Store,0081,license,2025-05-09,2025-06-01,2028-05-31,40.6848,-73.94128,pip
574 MARCY DELI CORP,,574 MARCY DELI CORP,574 MARCY AVE,11206,,,0081-21-112723,Grocery Store,0081,license,2024-06-26,2024-08-01,2027-07-31,40.69509,-73.94915,pip
73 BED STUY DELI AND GRILL CORP.,,73 BED STUY DELI AND GRILL CORP.,73 Decatur St,11216,,,0524-26-48393,Temporary retail,0524,temporary,2026-07-13,2026-07-13,2027-01-09,40.68062,-73.94064,pip
750 MYRTLE DINER,750 MYRTLE DINER,INNOVATIVE EATS LLC,750 MYRTLE AVE,11205,,,0240-23-140814,Restaurant,0240,license,2025-04-08,2025-05-01,2027-04-30,40.69496,-73.95279,pip
836 Market Inc,,836 Market Inc,836 Dekalb Ave,11221,,,0524-26-51736,Temporary retail,0524,temporary,2026-08-17,2026-08-17,2027-02-13,40.69238,-73.94255,pip
855 BROADWAY LIQUOR INC,,855 BROADWAY LIQUOR INC,840 BROADWAY,11206,,,0100-22-117768,Liquor Store,0100,license,2025-09-19,2025-11-01,2028-10-31,40.69913,-73.93905,geoclient
960 STAR DELI GROCERY CORP,,960 STAR DELI GROCERY CORP,960 DEKALB AVE,11221,,,0071-24-115069,Grocery Store,0071,license,2024-05-24,2024-05-24,2027-04-30,40.69304,-73.93688,pip
A & M DELI NY CORP,,A & M DELI NY CORP,92 MALCOLM X BLVD,11221,,,0081-20-108706,Grocery Store,0081,license,2024-01-12,2024-02-01,2027-01-31,40.69064,-73.93061,pip
