display_name,dba,legal_name,address,zip,website,logo,license_id,license_description,class,type,original_issue,effective,expires,lat,lon,assignment_method
1078 D'empanada Grocery Corp,,1078 D'empanada Grocery Corp,1078 Rutland Rd,11212,,,0071-25-102938,Grocery Store,0071,license,2025-02-13,2025-02-13,2028-01-31,40.66409,-73.92421,pip
1271 D & G CORP,,1271 D & G CORP,1271 RALPH AVE,11236,,,0081-21-100130,Grocery Store,0081,license,2024-04-22,2024-04-22,2027-03-31,40.64519,-73.92,pip
1300 ROYAL TERRACE LLC,,1300 ROYAL TERRACE LLC,1298 UTICA AVE,11203,,,0370-24-133540,Food & Beverage Business,0370,license,2024-10-22,2024-10-22,2026-09-30,40.64089,-73.92923,pip
1610 DELI CORP,,1610 DELI CORP,1610 NOSTRAND AVE,11226,,,0081-23-103700,Grocery Store,0081,license,2026-04-23,2026-06-01,2029-05-31,40.64677,-73.94913,pip
5 Star Clarkson Deli Grocery Corp,,5 Star Clarkson Deli Grocery Corp,830 Clarkson Ave,11203,,,0524-26-48082,Temporary retail,0524,temporary,2026-07-08,2026-07-08,2027-01-04,40.65662,-73.9307,geoclient
519 NAMIR DELI & GRILL INC,,519 NAMIR DELI & GRILL INC,519 UTICA AVE,11203,,,0081-24-109570,Grocery Store,0081,license,2024-04-10,2024-04-04,2027-03-31,40.6608,-73.93118,geoclient
519 UTICA AVE WINES LLC,,519 UTICA AVE WINES LLC,519 UTICA AVE,11203,,,0100-23-125326,Liquor Store,0100,license,2026-04-30,2026-05-01,2029-04-30,40.6608,-73.93118,geoclient
560 GROCERY & FOOD CORP,,560 GROCERY & FOOD CORP,560 REMSEN AVE,11236,,,0081-22-121700,Grocery Store,0081,license,2025-08-28,2025-09-01,2028-08-31,40.65295,-73.92014,pip
565 LENOX DELI CORP,,565 LENOX DELI CORP,565 LENOX RD,11203,,,0081-22-123321,Grocery Store,0081,license,2025-06-26,2025-07-01,2028-06-30,40.65478,-73.93959,pip
764 YEMEN DELI CORP,,764 YEMEN DELI CORP,764 ROGERS AVE,11226,,,0081-20-105342,Grocery Store,0081,license,2023-11-10,2023-12-01,2026-11-30,40.65226,-73.95263,pip
