display_name,dba,legal_name,address,zip,website,logo,license_id,license_description,class,type,original_issue,effective,expires,lat,lon,assignment_method
OLD CITY FOOD CORP,,OLD CITY FOOD CORP,1606 AVENUE H,11230,,,0081-21-112313,Grocery Store,0081,license,2024-05-23,2024-06-01,2027-05-31,40.63009,-73.96108,pip
ORLANDER LIQUOR INC,,ORLANDER LIQUOR INC,1715 AVENUE M,11230,,,0100-22-115946,Liquor Store,0100,license,2025-05-23,2025-06-01,2028-05-31,40.61829,-73.95755,pip
ORTEGA'S GRILL INC,,ORTEGA'S GRILL INC,1902 CHURCH AVE,11226,,,0240-23-140383,Restaurant,0240,license,2025-10-25,2025-11-01,2027-10-31,40.64983,-73.96206,pip
PELICAN REEF,PELICAN REEF,PERFECT TOUCH CUISINE II INC,1260 FLATBUSH AVE,11226,,,0340-22-111068,Restaurant,0340,license,2026-02-23,2026-03-01,2028-02-29,40.63951,-73.95466,geoclient
PESCADA,PESCADA,CAFE UP ST LLC,1359-1361 Coney Island Ave,11230,,,0340-25-115325,Restaurant,0340,license,2025-06-28,2025-06-28,2027-05-31,40.62436,-73.96508,geoclient
PICH RESTAURANT AND LOUNGE,PICH RESTAURANT AND LOUNGE,TEAM SOCA BAR & LOUNGE LLC,774 FLATBUSH AVE,11226,,,0370-24-123084,Food & Beverage Business,0370,license,2026-07-17,2026-08-01,2028-07-31,40.65394,-73.95953,pip
PLAZA CONVENIENCE STORE INC,,PLAZA CONVENIENCE STORE INC,13 Newkirk Plz,11226,,,0081-25-113938,Grocery Store,0081,license,2025-06-14,2025-06-14,2028-05-31,40.63503,-73.96271,pip
POMEGRANATE,POMEGRANATE,KOSHER GARDEN INC THE,1507 CONEY ISLAND AVENUE,11230,https://www.thepompeople.com/,/liquor/logos/671e3c74a606.svg,0081-22-126730,Grocery Store,0081,license,2025-09-08,2025-11-01,2028-10-31,40.6207,-73.96439,geoclient
PROSPECT PARK SOUTH DELI GROCERY INC,,PROSPECT PARK SOUTH DELI GROCERY INC,1201 CHURCH AVE,11218,,,0081-21-110768,Grocery Store,0081,license,2024-09-27,2024-10-01,2027-09-30,40.6474,-73.96824,pip
PUEBLAS DELI GROCERY CORP,,PUEBLAS DELI GROCERY CORP,1712 AVENUE M,11230,,,0071-21-121228,Grocery Store,0071,license,2024-11-22,2024-12-01,2027-11-30,40.61827,-73.95769,pip
