display_name,dba,legal_name,address,zip,website,logo,license_id,license_description,class,type,original_issue,effective,expires,lat,lon,assignment_method
100 FUN,100 FUN,GALAXY RESTAURANT & BAR INC,932 934 60TH STREET,11219,,,0370-24-104996,Food & Beverage Business,0370,license,2026-02-03,2026-04-01,2028-03-31,40.6335,-74.00627,pip
3901 FOODMART CORP,,3901 FOODMART CORP,3901 FORT HAMILTON PKWY,11218,,,0081-22-127252,Grocery Store,0081,license,2025-08-11,2025-10-01,2028-09-30,40.6431,-73.99059,pip
4D LIQUOR & WINE,4D LIQUOR & WINE,1675 MCDONALD LIQUORS INC,1675 MCDONALD AVE,11230,,,0100-21-115910,Liquor Store,0100,license,2025-11-10,2024-10-10,2027-09-30,40.61215,-73.97366,geoclient
55 GRILL ZONE,55 GRILL ZONE,YAMANYS INC,5418 NEW UTRECHT AVE,11219,,,0081-22-131503,Grocery Store,0081,license,2025-04-04,2025-04-04,2028-03-31,40.63196,-73.99537,pip
60TH STREET CONVENIENCE INC,,60TH STREET CONVENIENCE INC,6001 FT HAMILTON PKWY,11219,,,0081-22-126572,Grocery Store,0081,license,2025-04-21,2025-05-01,2028-04-30,40.633,-74.00566,pip
6M HOLDINGS INC,,6M HOLDINGS INC,418 CONEY ISLAND AVE,11218,,,0081-22-131888,Grocery Store,0081,license,2025-09-17,2025-10-01,2028-09-30,40.6479,-73.97128,geoclient
709,709,"Best Food and Fun, Limited",709 Church Ave,11218,,,0340-24-134911,Restaurant,0340,license,2024-11-04,2024-11-04,2026-10-31,40.64558,-73.97275,pip
89 CHURCH LIQUORS INC,,89 CHURCH LIQUORS INC,89 CHURCH AVE,11218,,,0100-21-113682,Liquor Store,0100,license,2024-05-16,2024-06-01,2027-05-31,40.64261,-73.9799,pip
A & H DELI AND GRILL CORP,,A & H DELI AND GRILL CORP,4005 9TH AVE,11232,,,0081-21-108045,Grocery Store,0081,license,2024-03-20,2024-04-01,2027-03-31,40.6452,-73.99584,pip
A TO B DELI & MARKET INC.,,A TO B DELI & MARKET INC.,4023 8th Ave Unit 1,11232,,,0071-26-146380,Grocery Store,0071,license,2026-06-17,2026-06-17,2029-05-31,40.64624,-73.99836,pip
A TOUCH OF SPIRIT,A TOUCH OF SPIRIT,ERNEST WEINBERGER,4803 16TH AVE,11204,,,0100-21-115825,Liquor Store,0100,license,2024-02-28,2024-03-01,2027-02-28,40.63147,-73.98505,pip
A&J DELIGHTS GRILLED & DELI CORPORATION,,A&J DELIGHTS GRILLED & DELI CORPORATION,320 Cortelyou Rd,11218,,,0524-26-46086,Temporary retail,0524,temporary,2026-06-12,2026-06-12,2026-12-09,40.63823,-73.97576,pip
A&M Kings Grocery Corp,,A&M Kings Grocery Corp,422 Ditmas Ave,11218,,,0524-26-47104,Temporary retail,0524,temporary,2026-06-26,2026-06-26,2026-12-23,40.63595,-73.97432,pip
AHAVA MINI MARKET,AHAVA MINI MARKET,AHAVA MINI MARKET INC,1358 CONEY ISLAND AVE,11230,,,0081-20-108653,Grocery Store,0081,license,2023-12-07,2024-01-01,2026-12-31,40.62443,-73.96509,geoclient
Aileen La H,Aileen La H,Aileen's Thrift Store Corp,1071 39th St,11219,,,0081-26-139428,Grocery Store,0081,license,2026-04-07,2026-04-07,2029-03-31,40.64345,-73.99095,pip
Aileen La H Restaurant,Aileen La H Restaurant,Aileen La H Restaurant Corp,3824 Fort Hamilton Pkwy,11218,,,0240-25-105241,Restaurant,0240,license,2025-03-18,2025-03-18,2027-02-28,40.64324,-73.99038,pip
AK TWO CORP,,AK TWO CORP,"1400 E 4TH ST, STORE #1",11230,,,0071-22-113614,Grocery Store,0071,license,2025-11-04,2025-12-01,2028-11-30,40.61648,-73.97135,pip
AME CONVENIENT & DELI GROCERY INC,AME CONVENIENT & DELI GROCERY INC,AME CONVENIENT & DELI GROCERY INC,5916 NEW UTRECHT AVE,11219,,,0081-23-121836,Grocery Store,0081,license,2026-07-03,2026-09-01,2029-08-31,40.62801,-73.99643,pip
ARCANGEL DELI GROCERY CORP,,ARCANGEL DELI GROCERY CORP,4004 14TH AVE,11218,,,0081-20-105152,Grocery Store,0081,license,2023-10-17,2023-11-01,2026-10-31,40.63861,-73.98481,pip
Asia Harbor,Asia Harbor,Asia Harbor Asian Cuisine Inc,404 Church Ave,11218,,,0524-26-44831,Temporary retail,0524,temporary,2026-06-02,2026-06-02,2026-11-29,40.64405,-73.97651,pip
ASIA PALACE INC,,ASIA PALACE INC,4813 NEW UTRECHT AVE,11219,,,0340-23-138225,Restaurant,0340,license,2025-03-05,2025-04-01,2027-03-31,40.6371,-73.99468,pip
AVE K MINI MART,AVE K MINI MART,AVE K MINI MART INC,1452 CONEY ISLAND AVE,11230,,,0081-23-122882,Grocery Store,0081,license,2026-06-18,2026-07-01,2029-06-30,40.62209,-73.96467,geoclient
Baiweixian Inc,,Baiweixian Inc,5117 8th Ave,11220,,,0524-26-46353,Temporary retail,0524,temporary,2026-06-17,2026-06-17,2026-12-14,40.64017,-74.00469,geoclient
BEN FRANKLIN DISTILLERY LLC,,BEN FRANKLIN DISTILLERY LLC,5304 NEW UTRECHT AVE,11219,,,0052-21-115374,Distiller Class A-1 (Micro-distiller),0052,license,2025-01-14,2025-01-14,2027-12-31,40.63313,-73.99519,pip
BINGO WHOLESALE,BINGO WHOLESALE,MARAV USA LLC,1245 61ST ST,11219,,,0081-21-100518,Grocery Store,0081,license,2024-10-02,2024-11-01,2027-10-31,40.62863,-73.99974,geoclient
Bonito Mexico 6014 Inc.,,Bonito Mexico 6014 Inc.,6014 New Utrecht Ave,11219,,,0267-26-146176,Food & Beverage Business,0267,license,2026-06-15,2026-06-15,2028-05-31,40.62725,-73.99664,pip
BORDEAUX LLC,,BORDEAUX LLC,1922 1924 CONEY ISLAND AVE,11230,,,0340-23-135352,Restaurant,0340,license,2025-06-13,2025-07-01,2027-06-30,40.61042,-73.96246,geoclient
Breadberry Inc,,Breadberry Inc,1683-1689 60th St,11204,,,0081-26-136110,Grocery Store,0081,license,2026-02-24,2026-02-24,2029-01-31,40.62352,-73.98976,pip
BSK GROCERY STORE CORP,,BSK GROCERY STORE CORP,4701 8TH AVENUE,11220,,,0138-22-102018,Food & Beverage Business,0138,license,2025-02-28,2025-03-01,2028-02-29,40.64271,-74.00203,geoclient
CARLOS GROCERIES,CARLOS GROCERIES,CARLOS GROCERIES INC,1983 52ND STREET,11214,,,0071-21-116225,Grocery Store,0071,license,2024-05-30,2024-07-01,2027-06-30,40.62398,-73.97836,pip
Cerrito Deli Grocery Corporation,,Cerrito Deli Grocery Corporation,4001 9th Ave,11232,,,0071-25-110769,Grocery Store,0071,license,2025-05-19,2025-05-19,2028-04-30,40.64529,-73.99576,pip
CHINA GLATT,CHINA GLATT,SHOLOM WITRIOL & CHINA GLATT INC.,4413 13TH AVENUE,11219,,,0240-21-123420,Restaurant,0240,license,2025-11-19,2025-12-01,2027-11-30,40.63753,-73.98951,pip
Citi Deli Grocery Inc.,,Citi Deli Grocery Inc.,701 Church Ave,11218,,,0081-26-138984,Grocery Store,0081,license,2026-03-31,2026-03-31,2029-02-28,40.64552,-73.9729,pip
Classic Liquor and Wine Inc.,,Classic Liquor and Wine Inc.,114 116 Ditmas Ave,11218,,,0100-25-129494,Liquor Store,0100,license,2025-11-18,2025-11-18,2028-10-31,40.6356,-73.97747,pip
CORK AND SLICE,CORK AND SLICE,509 AVENUE P INC,509 AVENUE P,11223,,,0340-24-104383,Restaurant,0340,license,2026-01-27,2026-02-01,2028-01-31,40.6093,-73.9686,geoclient
CROSSROAD GASTROPUB,CROSSROAD GASTROPUB,752 D S TAVERN INC,752 CONEY ISLAND AVE,11218,,,0370-23-128388,Food & Beverage Business,0370,license,2025-07-30,2025-08-01,2027-07-31,40.63923,-73.96879,geoclient
CVS/PHARMACY #2699,CVS/PHARMACY #2699,CVS ALBANY LLC,411 DITMAS AVE,11218,,,0082-21-122232,Drug Store,0082,license,2024-06-30,2024-06-30,2027-06-30,40.63593,-73.97443,pip
DAILY STOP,DAILY STOP,SHEHZ & LAZ INC,1586 MCDONALD AVE,11230,,,0081-22-122195,Grocery Store,0081,license,2025-03-07,2025-04-01,2028-03-31,40.6144,-73.97413,geoclient
DAK SING PALACE INC,,DAK SING PALACE INC,6001 11th Ave,11219,,,0340-26-141323,Restaurant,0340,license,2026-04-28,2026-04-28,2028-03-31,40.63127,-74.00319,pip
DENNYS,DENNYS,DENMAR TAVERN INC,106 BEVERLY ROAD,11218,,,0370-23-116143,Food & Beverage Business,0370,license,2025-02-15,2025-03-01,2027-02-28,40.64298,-73.9789,pip
Discount Liquor Store,Discount Liquor Store,KEVANDY CORP,501 Cortelyou Rd Basement,11218,,,0100-21-115373,Liquor Store,0100,license,2024-12-18,2024-12-18,2027-11-30,40.63838,-73.97442,pip
DOMIMEX CORP,,DOMIMEX CORP,3724 13TH AVE,11218,,,0081-20-108888,Grocery Store,0081,license,2023-10-17,2023-12-01,2026-11-30,40.64134,-73.98553,pip
DOUBLE HARVEST MARKET INC,,DOUBLE HARVEST MARKET INC,5605 8TH AVE,11220,,,0081-22-123844,Grocery Store,0081,license,2025-10-08,2025-11-01,2028-10-31,40.63757,-74.00737,geoclient
DUN HUANG,DUN HUANG,NEW YORK DUN HUANG INC,817 60TH ST,11220,,,0240-22-101655,Restaurant,0240,license,2024-10-09,2024-11-01,2026-10-31,40.63521,-74.00907,geoclient
EAST OCEAN LIQUOR INC,,EAST OCEAN LIQUOR INC,808 57TH ST,11220,,,0100-21-115011,Liquor Store,0100,license,2024-09-12,2024-10-01,2027-09-30,40.63705,-74.00757,geoclient
ECONOMY DISCOUNT WINES & LIQUORS,ECONOMY DISCOUNT WINES & LIQUORS,43 LIQUORS INC,4223 8TH AVE,11232,,,0100-22-116468,Liquor Store,0100,license,2025-08-04,2025-10-01,2028-09-30,40.64512,-73.99953,geoclient
