display_name,dba,legal_name,address,zip,website,logo,license_id,license_description,class,type,original_issue,effective,expires,lat,lon,assignment_method
21st OCK Mini Mart Corp,,21st OCK Mini Mart Corp,2028 Mermaid Ave,11224,,,0081-26-152491,Grocery Store,0081,license,2026-08-25,2026-08-25,2029-07-31,40.57628,-73.98779,pip
2819 CROPSEY BAGELS & DELI INC,,2819 CROPSEY BAGELS & DELI INC,2819 CROPSEY AVE,11214,,,0081-23-115311,Grocery Store,0081,license,2026-05-08,2026-07-01,2029-06-30,40.58608,-73.98799,pip
7 Eleven Store #27167B,7 Eleven Store #27167B,2800 CIA RETAIL CORP,2800 Coney Island Ave,11235,https://www.7-eleven.com/locations/ny/brooklyn/2800-coney-island-ave.-27167,/liquor/logos/c6166131a578.svg,0081-24-134272,Grocery Store,0081,license,2024-10-28,2024-10-28,2027-09-30,40.58822,-73.9607,geoclient
7 ELEVEN STORE #36950A,7 ELEVEN STORE #36950A,TMN ONE CORP,708 BRIGHTON BEACH AVE,11235,https://www.7-eleven.com/locations/ny/brooklyn/708-brighton-beach-ave-36950,/liquor/logos/fa9dc8c2b701.svg,0081-21-104613,Grocery Store,0081,license,2024-05-06,2024-06-01,2027-05-31,40.57791,-73.96025,pip
76 CIBO CORP,,76 CIBO CORP,76 W BRIGHTON AVE,11224,,,0081-23-110483,Grocery Store,0081,license,2025-12-29,2026-02-01,2029-01-31,40.57647,-73.97137,pip
A AND T GROCERY INC,,A AND T GROCERY INC,2906 2908 STILLWELL AVENUE,11224,,,0071-22-106898,Grocery Store,0071,license,2025-11-25,2026-01-01,2028-12-31,40.5767,-73.98144,pip
ADD BAR - 2ND FLOOR,ADD BAR - 2ND FLOOR,FOOTPRINTS CAFE SOUTH INC,1521 SURF AVE,11224,,,0423-22-105903,Additional Bar,0423,license,2026-05-08,2026-06-01,2028-05-31,40.57544,-73.98319,pip
ADD BAR - 2ND FLOOR,ADD BAR - 2ND FLOOR,FOOTPRINTS CAFE SOUTH INC,1521 SURF AVE,11224,,,0340-22-106736,Restaurant,0340,license,2026-05-08,2026-06-01,2028-05-31,40.57544,-73.98319,pip
"Adore Gold, Inc",,"Adore Gold, Inc",3145 Brighton 4th St,11235,,,0340-26-151904,Restaurant,0340,license,2026-08-18,2026-08-18,2028-07-31,40.57539,-73.96296,pip
ALEX DELI CORP,,ALEX DELI CORP,324A BRIGHTON BEACH AVE,11235,,,0081-21-100816,Grocery Store,0081,license,2024-02-28,2024-04-01,2027-03-31,40.57719,-73.96343,pip
Anvarsrestaurant Inc,,Anvarsrestaurant Inc,241 Brighton Beach Ave,11235,,,0340-25-123168,Restaurant,0340,license,2025-09-16,2025-09-16,2027-08-31,40.57668,-73.96578,pip
ARKADIA,ARKADIA,ARKING OF BROOKLYN INC,1079 BRIGHTON BEACH AVE,11235,,,0071-21-121383,Grocery Store,0071,license,2024-05-24,2024-06-01,2027-05-31,40.57812,-73.9573,pip
AROMA FOOD INC,,AROMA FOOD INC,3033 CONEY ISLAND AVE,11235,,,0081-21-112404,Grocery Store,0081,license,2024-12-06,2025-01-01,2027-12-31,40.58182,-73.95993,pip
Azure,Azure,3145 B4 LLC,3145 Brighton 4th St,11235,,,0340-25-125331,Restaurant,0340,license,2025-10-07,2025-10-07,2027-09-30,40.57539,-73.96296,pip
B&B Carousell,B&B Carousell,Central Amusement International Inc,1615 Boardwalk W,11224,https://lunaparknyc.com/rides/bb-carousell/,/liquor/logos/90ff9011d0a9.png,0340-24-134334,Restaurant,0340,license,2026-08-14,2026-10-01,2028-09-30,40.57278,-73.98305,pip
B&B MINIMARKET INC,,B&B MINIMARKET INC,311 313 NEPTUNE AVE,11235,,,0081-22-131257,Grocery Store,0081,license,2025-04-03,2025-05-01,2028-04-30,40.58093,-73.96471,pip
Bar Set Lounge & Billards,Bar Set Lounge & Billards,GS Hospitality Group Inc,3200 Coney Island Ave,11235,,,0340-25-118291,Restaurant,0340,license,2025-07-31,2025-07-31,2027-06-30,40.57747,-73.95959,pip
Barduck,Barduck,OPW3100 LLC,3100 Ocean Pkwy Store 5 & 6,11235,,,0340-26-141082,Restaurant,0340,license,2026-04-27,2026-04-27,2028-03-31,40.57584,-73.96892,pip
BEERLAND 2 INC,,BEERLAND 2 INC,2860 WEST 5TH ST,11224,,,0267-22-105461,Food & Beverage Business,0267,license,2026-04-22,2026-05-01,2028-04-30,40.57901,-73.97212,pip
BEERLAND INC,,BEERLAND INC,2568 W 2ND ST,11223,,,0081-20-108967,Grocery Store,0081,license,2023-10-23,2023-11-01,2026-10-31,40.58662,-73.97139,pip
BEST BUY LIQUORS INC,,BEST BUY LIQUORS INC,1613 NEPTUNE AVENUE,11224,https://bestbuyliquors.com/,/liquor/logos/daee21690795.png,0100-22-116583,Liquor Store,0100,license,2025-01-16,2025-02-01,2028-01-31,40.579,-73.98468,pip
Brighton Candy & Grocery Corp,,Brighton Candy & Grocery Corp,7B Brighton 1st Rd,11235,,,0081-25-115334,Grocery Store,0081,license,2025-06-30,2025-06-30,2028-05-31,40.5763,-73.96645,pip
BRIGHTON DISCOUNT SPIRITS,BRIGHTON DISCOUNT SPIRITS,J&R WINE AND LIQUOR INC,253 BRIGHTON BEACH AVE,11235,,,0100-22-116356,Liquor Store,0100,license,2025-02-04,2025-03-01,2028-02-29,40.57676,-73.96544,pip
BRIGHTON FINEST GOURMET DELI CORP,,BRIGHTON FINEST GOURMET DELI CORP,291 BRIGHTON BEACH AVE,11235,,,0081-23-121841,Grocery Store,0081,license,2026-07-16,2026-08-01,2029-07-31,40.577,-73.96433,pip
BRIGHTON GOURMET DELI INC,,BRIGHTON GOURMET DELI INC,606 BRIGHTON BEACH AVE,11235,,,0081-21-106381,Grocery Store,0081,license,2024-11-20,2024-12-01,2027-11-30,40.57766,-73.96123,pip
Brighton Snacks & Drinks Corp.,,Brighton Snacks & Drinks Corp.,107 Brighton 11th St,11235,,,0081-25-120237,Grocery Store,0081,license,2025-08-20,2025-08-20,2028-07-31,40.58007,-73.95762,pip
Buck-IT Sports Bar and Latin Grill,Buck-IT Sports Bar and Latin Grill,Q & Q Properties 2 LLC,1039 Surf Ave,11224,https://buck-it-bar.com/,/liquor/logos/c5e248eee20c.png,0340-25-113473,Restaurant,0340,license,2025-06-11,2025-06-11,2027-05-31,40.57554,-73.97916,pip
CAFETERIA NEW YORK AQUARIUM,CAFETERIA NEW YORK AQUARIUM,WILDLIFE CONSERVATION SOCIETY,508 SURF AVENUE,11224,,,0240-24-127249-01,Additional Bar,0423,license,2026-07-10,2026-09-01,2028-08-31,40.57472,-73.97301,pip
CAFETERIA NEW YORK AQUARIUM,CAFETERIA NEW YORK AQUARIUM,WILDLIFE CONSERVATION SOCIETY,508 SURF AVENUE,11224,,,0240-24-127249-02,Additional Bar,0423,license,2026-07-10,2026-09-01,2028-08-31,40.57472,-73.97301,pip
CAFETERIA NEW YORK AQUARIUM,CAFETERIA NEW YORK AQUARIUM,WILDLIFE CONSERVATION SOCIETY,508 SURF AVENUE,11224,,,0240-24-127249-03,Additional Bar,0423,license,2026-07-10,2026-09-01,2028-08-31,40.57472,-73.97301,pip
CAFETERIA NEW YORK AQUARIUM,CAFETERIA NEW YORK AQUARIUM,WILDLIFE CONSERVATION SOCIETY,508 SURF AVENUE,11224,,,0240-24-127249,Restaurant,0240,license,2026-07-10,2026-09-01,2028-08-31,40.57472,-73.97301,pip
Campos & Daughters Corp.,,Campos & Daughters Corp.,3029 Stillwell Ave,11224,,,0268-25-116333,Summer Food & Beverage Business,0268,license,2026-04-19,2026-04-16,2026-10-31,40.57414,-73.98096,pip
Coney Island Candy Store Corp.,,Coney Island Candy Store Corp.,1716 Mermaid Ave,11224,,,0081-25-114163,Grocery Store,0081,license,2025-06-16,2025-06-16,2028-05-31,40.57657,-73.9853,pip
CONEY ISLAND FINEST DELI INC,,CONEY ISLAND FINEST DELI INC,1530 Mermaid Ave,11224,,,0081-24-115986,Grocery Store,0081,license,2024-06-03,2024-06-03,2027-05-31,40.57676,-73.98357,pip
Coney Island King Convenience Plus Inc.,,Coney Island King Convenience Plus Inc.,2901 W 24th ST,11224,,,0071-25-114689,Grocery Store,0071,license,2025-06-23,2025-06-23,2028-05-31,40.57573,-73.99109,pip
Cork & Barrel of Brooklyn Inc,,Cork & Barrel of Brooklyn Inc,2813 Cropsey Ave,11214,,,0100-24-135284,Liquor Store,0100,license,2024-11-06,2024-11-06,2027-10-31,40.58615,-73.98805,pip
CRAB HOUSE BROOKLYN INC,,CRAB HOUSE BROOKLYN INC,1223 SURF AVE,11224,https://crabhousebk.com/,/liquor/logos/062b5e20fd57.png,0340-22-108151,Restaurant,0340,license,2026-03-21,2026-04-01,2028-03-31,40.57558,-73.98047,pip
CVS/PHARMACY #2428,CVS/PHARMACY #2428,CVS ALBANY LLC,532 NEPTUNE AVE UNIT#1,11224,https://www.cvs.com/store-locator/brooklyn-ny-pharmacies/532-neptune-avenue-unit-1-brooklyn-ny-11224/storeid=2428,/liquor/logos/1e125e49e14e.svg,0082-21-122064,Drug Store,0082,license,2024-06-30,2024-06-30,2027-06-30,40.57983,-73.97295,pip
D J DELI CORP,,D J DELI CORP,2808 W 36TH ST,11224,,,0081-21-100686,Grocery Store,0081,license,2024-02-16,2024-02-16,2027-01-31,40.57687,-74.00213,pip
D S H RESTAURANT INC,,D S H RESTAURANT INC,3059 W 12TH STREET,11224,,,0112-23-124657,Summer Restaurant,0112,license,2026-02-13,2026-04-01,2026-10-31,40.57402,-73.97968,pip
DENO'S SNACK BAR/FAMIGLIA PIZZA,DENO'S SNACK BAR/FAMIGLIA PIZZA,VODOU FOODS CORP,1025 BOARDWALK,11224,,,0112-23-126786,Summer Restaurant,0112,license,2026-02-24,2026-04-01,2026-10-31,40.57325,-73.97898,pip
E & S Mini Market Corp.,,E & S Mini Market Corp.,262 Neptune Ave,11235,,,0524-26-44347,Temporary retail,0524,temporary,2026-05-28,2026-05-28,2026-11-24,40.58129,-73.96298,pip
Easy Grab and Go Convenience Store Corp.,,Easy Grab and Go Convenience Store Corp.,626 Sheepshead Bay Rd Unit 1A,11224,,,0071-26-135798,Grocery Store,0071,license,2026-02-18,2026-02-18,2029-01-31,40.57902,-73.97554,pip
Eat In Deli Gourmet Corp.,,Eat In Deli Gourmet Corp.,1223 Surf Ave store 1,11224,,,0081-26-143078,Grocery Store,0081,license,2026-05-14,2026-05-14,2029-04-30,40.57558,-73.98047,pip
EL JAROCHITO DELI & GROCERY,EL JAROCHITO DELI & GROCERY,EL JAROCHITO DELI & GROCERY CORP,195 NEPTUNE AVE 1ST FLOOR,11235,,,0071-22-110891,Grocery Store,0071,license,2025-01-21,2025-02-01,2028-01-31,40.58179,-73.96065,pip
EUROPE,EUROPE,S & M INTERNATIONAL FOODS INC,307 BRIGHTON BEACH AVE,11235,,,0071-21-118660,Grocery Store,0071,license,2024-10-10,2024-11-01,2027-10-31,40.5771,-73.96384,pip
EXCELSIOR YACHT CLUB,,EXCELSIOR YACHT CLUB,1902 SHORE PKWY,11214,,,0349-23-124956,Club,0349,license,2025-02-28,2025-03-01,2027-02-28,40.58945,-73.99323,geoclient
EXQUISITE FOODLAND,EXQUISITE FOODLAND,NATURAL FOOD LAND LLC,409 413 BRIGHTON BEACH AVE,11235,,,0081-22-126990,Grocery Store,0081,license,2025-05-27,2025-06-01,2028-05-31,40.57732,-73.96281,pip
