display_name,dba,legal_name,address,zip,website,logo,license_id,license_description,class,type,original_issue,effective,expires,lat,lon,assignment_method
EIGHTY SEVEN NEXT DOOR,EIGHTY SEVEN NEXT DOOR,TABLE 87 GOWANUS NYC LLC,473 3RD AVE,11215,,,0340-23-158862,Restaurant,0340,license,2025-10-06,2025-10-06,2027-09-30,40.67077,-73.9916,pip
El Mexicano Restaurante & Cafe #5 Inc,,El Mexicano Restaurante & Cafe #5 Inc,230 Hoyt St,11217,,,0524-26-44153,Temporary retail,0524,temporary,2026-05-27,2026-05-27,2026-11-23,40.68318,-73.99011,pip
EL VIEJO YAYO RESTAURANT & PIZZERIA,EL VIEJO YAYO RESTAURANT & PIZZERIA,IVANO RESTAURANT CORP,317 9TH ST,11215,,,0340-22-107000,Restaurant,0340,license,2026-04-29,2026-05-01,2028-04-30,40.66899,-73.9859,pip
ELSA,ELSA,PEKAR HANDWERKER NYC LLC,136 ATLANTIC AVE,11201,,,0340-23-135721,Restaurant,0340,license,2025-01-15,2025-02-01,2027-01-31,40.69048,-73.99524,geoclient
Emma's Torch,Emma's Torch,EMMA'S TORCH LTD.,345 SMITH ST,11231,https://emmastorch.org/restaurant,,0240-22-102190,Restaurant,0240,license,2026-05-18,2026-07-01,2028-06-30,40.68005,-73.99498,pip
EMMY SQUARED PIZZA,EMMY SQUARED PIZZA,ESQ PARK SLOPE LLC,315 5TH AVE,11215,https://www.emmysquaredpizza.com/location/park-slope-brooklyn-ny/,logos/2edcafdee6d5.png,0340-23-159640,Restaurant,0340,license,2025-10-02,2025-10-02,2027-09-30,40.67293,-73.98318,pip
Enso,Enso,Enso NY II Inc,192 Amity St,11201,,,0267-26-141967,Food & Beverage Business,0267,license,2026-05-04,2026-05-04,2028-04-30,40.68847,-73.99335,geoclient
EVALYN'S TAP HOUSE,EVALYN'S TAP HOUSE,236 BUTLER CAFE LLC,236 BUTLER ST,11217,https://www.evalynstaphouse.com,logos/62bd59806e53.png,0370-24-119233,Food & Beverage Business,0370,license,2026-06-18,2026-07-01,2028-06-30,40.68156,-73.98547,pip
EVERGREEN LIQUOR STORE INC,,EVERGREEN LIQUOR STORE INC,196 COLUMBIA ST,11231,,,0100-23-124311,Liquor Store,0100,license,2026-07-08,2026-08-01,2029-07-31,40.68538,-74.00253,pip
F & V DISTRIBUTION COMPANY LLC,,F & V DISTRIBUTION COMPANY LLC,700 COLUMBIA ST,11231,,,0002-23-112725,Wholesale Beer,0002,license,2026-06-25,2026-07-01,2027-06-30,40.66748,-74.01056,geoclient
FANCY GIRL CATERING LTD,,FANCY GIRL CATERING LTD,294 3RD AVE,11215,,,0101-24-135047,Off Premises Caterer Establishment,0101,license,2024-11-05,2024-11-05,2027-10-31,40.67694,-73.98642,pip
FAT CAT WINES LLC,,FAT CAT WINES LLC,538 COURT ST,11231,https://fatcatwinesny.com,,0100-21-113654,Liquor Store,0100,license,2024-07-17,2024-08-01,2027-07-31,40.67544,-73.99922,pip
FAUSTO,FAUSTO,PASTA PEOPLE LLC,346 348 FLATBUSH AVE,11238,https://www.faustobrooklyn.com,logos/d480abc9870e.png,0340-22-115598,Restaurant,0340,license,2026-01-13,2026-02-01,2028-01-31,40.67608,-73.97166,geoclient
FIFTH AVENUE DINER,FIFTH AVENUE DINER,GNS FOODS INC,432 5TH AVENUE,11215,,,0340-23-132669,Restaurant,0340,license,2024-12-13,2024-12-13,2026-11-30,40.66956,-73.98597,pip
FINBACK BROOKLYN,FINBACK BROOKLYN,FINBACK BROOKLYN LLC,545 PRESIDENT ST,11215,https://finbackbrewery.com,,0370-24-128904,Food & Beverage Business,0370,license,2024-10-13,2024-10-01,2026-09-30,40.67732,-73.98488,pip
FLATBUSH JAPANESE CUISINE,FLATBUSH JAPANESE CUISINE,FLATBUSH JAPANESE CUISINE INC,282 FLATBUSH AVE,11217,,,0240-23-140556,Restaurant,0240,license,2025-01-29,2025-03-01,2027-02-28,40.67862,-73.9735,geoclient
Flavor Taste,Flavor Taste,B Q Deli & Smoothie Bar Corp.,310 Flatbush Ave,11238,,,0081-26-132846,Grocery Store,0081,license,2026-01-05,2026-01-05,2028-12-31,40.67744,-73.97265,geoclient
Fleur,Fleur,Camellia Blossom Inc,392 5th Ave,11215,,,0340-25-131850,Restaurant,0340,license,2025-12-17,2025-12-17,2026-10-31,40.67074,-73.985,pip
FLORA TASTE EXPERIENCE LLC,,FLORA TASTE EXPERIENCE LLC,1021 8TH AVE,11215,,,0240-22-100229,Restaurant,0240,license,2024-11-12,2024-11-12,2026-11-30,40.66465,-73.98014,pip
FONDA,FONDA,VENADITO LLC,434 7TH AVENUE,11215,https://fondarestaurant.com/park-slope/,,0340-22-104714,Restaurant,0340,license,2025-12-12,2026-01-01,2027-12-31,40.66352,-73.98438,geoclient
FOOD BAZAAR,FOOD BAZAAR,BOGOPA RED HOOK LLC,480 500 VAN BRUNT ST,11231,https://www.foodbazaar.com/our-stores/?addr=11231,logos/5a87a0902faa.png,0267-22-112326,Food & Beverage Business,0267,license,2026-06-25,2026-07-01,2028-06-30,40.67402,-74.0168,pip
FOOD BAZAAR,FOOD BAZAAR,BOGOPA RED HOOK LLC,480 500 VAN BRUNT ST,11231,https://www.foodbazaar.com/our-stores/?addr=11231,logos/5a87a0902faa.png,0081-20-107820,Grocery Store,0081,license,2023-11-08,2023-12-01,2026-11-30,40.67402,-74.0168,pip
FOOD TRAIN INC,,FOOD TRAIN INC,368 7TH AVENUE,11215,,,0081-22-131188,Grocery Store,0081,license,2025-04-09,2025-05-01,2028-04-30,40.66579,-73.98251,pip
FOOD U DESIRE,FOOD U DESIRE,FOOD U DESIRE 2 CORP,423 7TH AVE,11215,,,0081-22-119922,Grocery Store,0081,license,2025-05-05,2025-06-01,2028-05-31,40.66378,-73.98416,pip
FOODTOWN,FOODTOWN,409 FOOD CORP,409 5TH AVE,11215,,,0081-20-105121,Grocery Store,0081,license,2023-10-23,2023-11-01,2026-10-31,40.67014,-73.9855,pip
Forever Brewing,Forever Brewing,Champion Beers LLC,574A President St,11215,https://foreverhomebrewing.com/,logos/62d454e52e0b.png,0015-26-148385,Farm Brewer,0015,license,2026-07-13,2026-07-13,2029-06-30,40.67698,-73.98402,pip
Forever Brewing,Forever Brewing,Champion Beers LLC,574A President St,11215,https://foreverhomebrewing.com/,logos/62d454e52e0b.png,0018-26-148384,Micro-Brewer 3 Year,0018,license,2026-07-13,2026-07-13,2029-06-30,40.67698,-73.98402,pip
FRAGOLE,FRAGOLE,FRAGOLE ON COURT CORP,394 COURT ST,11231,,,0340-23-132992,Restaurant,0340,license,2025-01-02,2025-02-01,2027-01-31,40.6808,-73.99664,pip
FRANKIES 457 COURT ST SPUTINO,FRANKIES 457 COURT ST SPUTINO,SORCERER INC,457 COURT ST,11231,,,0340-22-103663,Restaurant,0340,license,2026-06-10,2026-07-01,2028-06-30,40.67743,-73.99826,pip
FRANKS WINE BAR,FRANKS WINE BAR,FRANCESCA MERCHANTS LLC,465 COURT STREET,11231,https://frankswinebar.com,,0340-22-103429,Restaurant,0340,license,2026-06-11,2026-07-01,2028-06-30,40.67722,-73.99837,pip
FROG WINE SHOP,FROG WINE SHOP,MOSQUITO WINE SHOP LLC,389 HENRY ST,11201,https://www.frogwineshop.com,,0100-24-134494,Liquor Store,0100,license,2024-10-30,2024-10-30,2027-09-30,40.68814,-73.99749,pip
Fulton Burger Express,Fulton Burger Express,177 Fifth Corp,177 5th Ave,11217,,,0240-25-111377,Restaurant,0240,license,2025-05-23,2025-05-23,2027-04-30,40.67726,-73.97985,pip
G 200 GROCERY,G 200 GROCERY,G 200 GROCERY INC,200 FLATBUSH AVE,11217,,,0081-23-115703,Grocery Store,0081,license,2026-07-24,2026-08-01,2029-07-31,40.6816,-73.97567,pip
GARRYS WINE & LIQUOR INC,,GARRYS WINE & LIQUOR INC,231 FLATBUSH AVE,11217,,,0100-21-114759,Liquor Store,0100,license,2024-11-15,2025-01-01,2027-12-31,40.68116,-73.97535,geoclient
GENE FLATOW,GENE FLATOW,NYCL ACQUISITION LLC,499 VAN BRUNT ST,11231,,,0361-23-104136,Vessel,0361,license,2025-04-22,2025-05-01,2027-04-30,40.67324,-74.01684,geoclient
GENE FLATOW,GENE FLATOW,NYCL ACQUISITION LLC,499 VAN BRUNT ST,11231,,,0361-23-104084,Vessel,0361,license,2025-04-22,2025-05-01,2027-04-30,40.67324,-74.01684,geoclient
GENE FLATOW,GENE FLATOW,NYCL ACQUISITION LLC,499 VAN BRUNT ST,11231,,,0361-23-101555,Vessel,0361,license,2025-04-22,2025-05-01,2027-04-30,40.67324,-74.01684,geoclient
GENE FLATOW,GENE FLATOW,NYCL ACQUISITION LLC,499 VAN BRUNT ST,11231,,,0361-23-103956,Vessel,0361,license,2025-04-22,2025-05-01,2027-04-30,40.67324,-74.01684,geoclient
GERSI,GERSI,SOVI KITCHEN INC,316 COURT ST,11231,https://www.gersirestaurant.com,logos/831ec6cf8546.png,0340-22-112278,Restaurant,0340,license,2026-05-28,2026-07-01,2028-06-30,40.68335,-73.99541,pip
GG's Fish & Chips,GG's Fish & Chips,GG's Fish & Chips LLC,234 Hoyt St,11217,,,0240-24-139693,Restaurant,0240,license,2024-12-21,2024-12-21,2026-11-30,40.68309,-73.99017,pip
GHANG THAI FOOD SERVICES LLC,,GHANG THAI FOOD SERVICES LLC,229 COURT STREET,11201,,,0340-21-119264,Restaurant,0340,license,2025-08-28,2025-09-01,2027-08-31,40.68619,-73.9941,geoclient
Goog,Goog,SOMTUMDER REDHOOK INC,380 VAN BRUNT ST,11231,,,0340-23-138354,Restaurant,0340,license,2025-01-02,2025-01-02,2026-12-31,40.67698,-74.01331,pip
GOPUFF,GOPUFF,"GB LICENSE, LLC",535 4TH AVE,11215,,,0081-24-111548,Grocery Store,0081,license,2024-04-29,2024-04-29,2027-03-31,40.66704,-73.99139,geoclient
