display_name,dba,legal_name,address,zip,website,logo,license_id,license_description,class,type,original_issue,effective,expires,lat,lon,assignment_method
1268 ST JOHNS DELI AND GROCERY CORP,,1268 ST JOHNS DELI AND GROCERY CORP,1268 SAINT JOHNS PL,11213,,,0081-21-106434,Grocery Store,0081,license,2024-04-08,2024-05-01,2027-04-30,40.67087,-73.93627,pip
161 M Food Market Corp,,161 M Food Market Corp,161 Buffalo Ave,11213,,,0081-25-109330,Grocery Store,0081,license,2025-05-06,2025-05-06,2028-04-30,40.67363,-73.92511,pip
333 LOUNGE,333 LOUNGE,OX & CAESAR CORP,333 FLATBUSH AVE,11217,https://www.333lounge.com/,/liquor/logos/80fb4850fca3.png,0370-24-116438,Food & Beverage Business,0370,license,2026-06-02,2026-06-02,2028-05-31,40.67775,-73.97287,geoclient
4 BROTHERS FOOD,4 BROTHERS FOOD,4 BROTHERS FOOD CORP,631 NOSTRAND AVE,11216,,,0081-22-135077,Grocery Store,0081,license,2026-03-10,2025-05-23,2028-04-30,40.67548,-73.94997,pip
444 Grocery Deli Inc.,,444 Grocery Deli Inc.,444 Ralph Ave,11233,,,0081-26-145465,Grocery Store,0081,license,2026-06-05,2026-06-05,2029-05-31,40.67388,-73.92211,geoclient
612 SUPERMARKET CORP,,612 SUPERMARKET CORP,612 NOSTRAND AVE,11216,,,0081-24-104258,Grocery Store,0081,license,2024-02-20,2024-02-20,2027-01-31,40.67755,-73.94977,pip
667 WIN 4 LIFE DELI GOURMET INCORPORATED,,667 WIN 4 LIFE DELI GOURMET INCORPORATED,667 Classon Ave,11238,,,0071-24-104891,Grocery Store,0071,license,2024-02-27,2024-02-27,2027-01-31,40.67738,-73.95915,pip
743 Sababa LLC,,743 Sababa LLC,743 Franklin Ave,11238,,,0340-26-133437,Restaurant,0340,license,2026-01-13,2026-01-13,2027-12-31,40.67342,-73.95696,pip
751 BERGEN DELY INC,,751 BERGEN DELY INC,751 BERGEN ST,11238,,,0071-21-119229,Grocery Store,0071,license,2023-12-08,2024-01-01,2026-12-31,40.67845,-73.9636,pip
792 URBAN DELI 1 CORP.,,792 URBAN DELI 1 CORP.,792 Nostrand Ave,11216,,,0524-26-46284,Temporary retail,0524,temporary,2026-06-16,2026-06-16,2026-12-13,40.67151,-73.95035,pip
800 CANDY & JUICE BAR I CORP.,,800 CANDY & JUICE BAR I CORP.,800 Franklin Ave,11238,,,0524-26-50170,Temporary retail,0524,temporary,2026-07-28,2026-07-28,2027-01-24,40.67109,-73.95782,geoclient
805 Meat Corp,,805 Meat Corp,805 Washington Ave,11238,,,0524-26-46675,Temporary retail,0524,temporary,2026-06-22,2026-06-22,2026-12-19,40.67238,-73.96271,geoclient
808 LIQUOR & WINE INC,,808 LIQUOR & WINE INC,808 PROSPECT PL,11216,,,0100-22-115856,Liquor Store,0100,license,2025-09-19,2025-11-01,2028-10-31,40.6743,-73.94992,pip
840 UNITED DELI CORP,,840 UNITED DELI CORP,840 WASHINGTON AVE,11238,,,0081-21-101355,Grocery Store,0081,license,2024-07-23,2024-07-23,2027-06-30,40.67299,-73.96283,pip
99 ROGERS,99 ROGERS,BK 99 ROGERS CORP,99 ROGERS AVE,11216,,,0340-23-139402,Restaurant,0340,license,2025-07-10,2025-07-01,2027-06-30,40.67428,-73.95286,pip
A & A GOURMET FOOD CORP,,A & A GOURMET FOOD CORP,96 Kingston Ave,11213,,,0081-23-165424,Grocery Store,0081,license,2023-12-29,2023-12-29,2026-11-30,40.67631,-73.94152,pip
A & D LIQUORS INC,,A & D LIQUORS INC,751 NOSTRAND AVENUE,11216,,,0100-22-116620,Liquor Store,0100,license,2025-01-17,2025-02-01,2028-01-31,40.67178,-73.95032,pip
ABC LIQUOR,ABC LIQUOR,Dolores Chavis as the The Executor to the Estate of Luke Chavis,558 Ralph Ave,11233,,,0100-22-118313,Liquor Store,0100,license,2026-04-27,2026-04-27,2028-02-29,40.67039,-73.92243,geoclient
AHMED DELI GROCERY 1 CORP,,AHMED DELI GROCERY 1 CORP,1478 Bedford Ave,11216,,,0081-25-106369,Grocery Store,0081,license,2025-04-03,2025-04-03,2028-03-31,40.67259,-73.95437,pip
ALBANY FOOD CORP I,,ALBANY FOOD CORP I,176 ALBANY AVE,11213,,,0081-20-108783,Grocery Store,0081,license,2023-12-14,2024-01-01,2026-12-31,40.67482,-73.9389,pip
ALTA CALIDAD,ALTA CALIDAD,MALABAR KITCHEN LLC,552 VANDERBILT AVE,11238,https://altacalidadbk.com,/liquor/logos/181ec3e0a9e6.png,0340-23-134055,Restaurant,0340,license,2025-03-01,2025-03-01,2027-02-28,40.68002,-73.96802,pip
AMORINA CUCINA RUSTIC,AMORINA CUCINA RUSTIC,ZEN PIZZA INC,624 VANDERBILT AVE,11238,,,0340-22-114006,Restaurant,0340,license,2024-11-06,2024-11-06,2026-10-31,40.6775,-73.96891,pip
ARDEN,ARDEN,PLEASE & THANK YOU HOSPITALITY LLC,788 FRANKLIN AVE,11238,https://www.ardenbk.com,/liquor/logos/39576ce83993.png,0340-22-111978,Restaurant,0340,license,2026-06-24,2026-08-01,2028-07-31,40.67167,-73.95759,pip
ARENA WINE & LIQUOR DEPOT CORP,,ARENA WINE & LIQUOR DEPOT CORP,633 WASHINGTON AVE,11238,,,0100-23-126708,Liquor Store,0100,license,2026-02-12,2026-03-01,2029-02-28,40.67869,-73.96393,pip
ART CAFE & BAR,ART CAFE & BAR,VILLAGE AT GUREJE LLC,884 886 PACIFIC ST,11238,https://gureje.com/artcafeplusbar,,0370-23-137799,Food & Beverage Business,0370,license,2025-07-08,2025-08-01,2027-07-31,40.68031,-73.96455,pip
Autumn's Place,Autumn's Place,AUTUMN BAR & GRILL INC,629 Vanderbilt Ave,11238,,,0370-25-122534,Food & Beverage Business,0370,license,2025-09-11,2025-09-11,2027-08-31,40.67828,-73.96865,pip
AVANOELLEBK LLC,,AVANOELLEBK LLC,645 647 STERLING PL,11238,,,0370-23-137449,Food & Beverage Business,0370,license,2025-03-25,2025-04-01,2027-03-31,40.67336,-73.95738,pip
Azzaz Deli Grocery Corp,,Azzaz Deli Grocery Corp,1250 Park Pl,11213,,,0081-24-138335,Grocery Store,0081,license,2024-12-07,2024-12-07,2027-11-30,40.67265,-73.93594,pip
B & N FOOD CORP,,B & N FOOD CORP,152 ALBANY AVE,11213,,,0081-21-100232,Grocery Store,0081,license,2024-07-25,2024-07-25,2027-06-30,40.67536,-73.93885,pip
BANHMIGOS,BANHMIGOS,EAT AWESOME INC,636 PARK PL,11238,https://banhmigospark.com,,0240-21-122720,Restaurant,0240,license,2025-03-28,2025-03-28,2027-02-28,40.67424,-73.95705,pip
Bar Zakh Cafe,Bar Zakh Cafe,Alhambra Cafe Bar Corp,147 Utica Ave,11213,,,0267-26-133160,Food & Beverage Business,0267,license,2026-01-09,2026-01-09,2027-12-31,40.67379,-73.93064,pip
BARGHOST CORP,,BARGHOST CORP,71 6TH AVE,11217,,,0370-24-130687,Food & Beverage Business,0370,license,2024-10-01,2024-10-01,2026-09-30,40.6805,-73.97462,geoclient
BEARDED LADY,BEARDED LADY,BOGMAN LLC,686 A WASHINGTON AVE,11238,,,0370-23-137532,Food & Beverage Business,0370,license,2026-05-11,2025-07-01,2027-06-30,40.6777,-73.96374,pip
BEER STREET SOUTH,BEER STREET SOUTH,HOPS 550 LLC,550 VANDERBILT AVE,11238,https://www.beerstreetny.com/beer-street-south-menu,,0370-22-108631,Food & Beverage Business,0370,license,2025-12-08,2026-01-01,2027-12-31,40.68055,-73.96782,geoclient
BERGEN MINIMARKET CORP,,BERGEN MINIMARKET CORP,1664 BERGEN ST,11213,,,0081-22-120692,Grocery Store,0081,license,2025-09-30,2025-10-01,2028-09-30,40.67488,-73.9275,pip
Biarritz Kosher Pizza & Wine Bar,Biarritz Kosher Pizza & Wine Bar,Biarritz LLC,268 Kingston Ave,11213,,,0240-25-126061,Restaurant,0240,license,2025-10-15,2025-10-15,2027-09-30,40.67025,-73.9421,pip
Bierwax,Bierwax,BIERWAX LLC,556 Vanderbilt Ave,11238,https://www.bierwaxnyc.com,/liquor/logos/1405bdaf4105.png,0370-24-102402,Food & Beverage Business,0370,license,2026-07-03,2026-03-01,2028-02-29,40.67996,-73.96804,pip
BILT BAR,BILT BAR,JH HOSPITALITY INC,583 VANDERBILT AVE,11238,,,0370-23-131158,Food & Beverage Business,0370,license,2025-09-17,2025-10-01,2027-09-30,40.6803,-73.96791,pip
BK707,BK707,"Blossom Kitchen, LLC",707 Nostrand Ave,11216,,,0524-26-46775,Temporary retail,0524,temporary,2026-06-23,2026-06-23,2026-12-20,40.67304,-73.9502,pip
BKLYN CLAY LLC,,BKLYN CLAY LLC,535 CARLTON AVE,11238,https://www.bklynclay.com,/liquor/logos/305b32f663b6.png,0267-22-114371,Food & Beverage Business,0267,license,2024-11-07,2025-01-01,2026-12-31,40.68124,-73.97099,geoclient
BOB AND BETTY'S FOOD MARKET,BOB AND BETTY'S FOOD MARKET,805 FRANKLIN AVENUE FOOD CORP,805 FRANKLIN AVENUE,11238,https://www.bobandbettys.com,,0081-22-131155,Grocery Store,0081,license,2025-05-08,2025-07-01,2028-06-30,40.67135,-73.95771,pip
BOEUF & BUN CORP,,BOEUF & BUN CORP,271 KINGSTON AVE,11213,,,0240-23-140133,Restaurant,0240,license,2025-04-21,2025-05-01,2027-04-30,40.67048,-73.94208,pip
Bong,Bong,Bong Mundo LLC,724 Sterling Pl,11216,https://bongnyc.com,/liquor/logos/9e1032764854.png,0240-26-134038,Restaurant,0240,license,2026-01-22,2026-01-22,2027-12-31,40.67281,-73.95463,pip
BRANDED CATTLE SALOON INC,,BRANDED CATTLE SALOON INC,603 VANDERBILT AVE,11238,,,0340-22-104517,Restaurant,0340,license,2026-03-02,2026-04-01,2028-03-31,40.67931,-73.96829,pip
Briscola Trattoria,Briscola Trattoria,REGINE RESTAURANTS LLC,798A FRANKLIN AVE,11238,,,0340-22-103066,Restaurant,0340,license,2026-06-24,2026-06-24,2028-05-31,40.67118,-73.95778,geoclient
BROOKLYN BORN MINI MARKET,BROOKLYN BORN MINI MARKET,DIKSHA 1426 INC,1426 BEDFORD AVE,11216,https://www.brooklynborndeli.com/,,0081-21-108455,Grocery Store,0081,license,2024-09-13,2024-10-01,2027-09-30,40.67434,-73.95374,pip
Brooklyn Children's Museum Corporation,,Brooklyn Children's Museum Corporation,145 Brooklyn Ave,11213,https://www.brooklynkids.org/,/liquor/logos/83789c8311f8.png,0267-25-130987,Food & Beverage Business,0267,license,2025-12-05,2025-12-05,2027-11-30,40.67476,-73.94446,pip
BROOKLYN DELI,BROOKLYN DELI,PROSPECT DELI CORP,684 FRANKLIN AVE,11238,,,0081-23-122344,Grocery Store,0081,license,2023-08-11,2023-10-01,2026-09-30,40.67516,-73.95633,pip
BROOKLYN SPIRITS LLC,,BROOKLYN SPIRITS LLC,1827 PACIFIC ST,11233,,,0054-22-126656,Distiller Class B-1 (Micro-rectifier),0054,license,2025-08-11,2025-09-01,2028-08-31,40.67651,-73.92883,pip
BROOKLYN SPIRITS LLC,,BROOKLYN SPIRITS LLC,1827 PACIFIC ST,11233,,,0007-20-108922,Wholesale Wine,0007,license,2023-12-18,2024-01-01,2026-12-31,40.67651,-73.92883,pip
BUGA DELI GROCERY CORP,,BUGA DELI GROCERY CORP,187 BUFFALO AVE,11213,,,0081-23-102697,Grocery Store,0081,license,2026-06-18,2026-09-01,2029-08-31,40.67282,-73.9252,pip
BURGOS GROCERY,BURGOS GROCERY,LUIS ANTONIO BURGOS,762 CLASSON AVENUE,11238,,,0071-21-118682,Grocery Store,0071,license,2024-02-15,2024-03-01,2027-02-28,40.6738,-73.96045,pip
BURRITO BAR & KITCHEN,BURRITO BAR & KITCHEN,M AND G TOGETHER 4 EVER LLC,307 309 FLATBUSH AVE,11217,https://burritobarbrooklyn.com,/liquor/logos/b1dd11edb356.png,0340-23-134101,Restaurant,0340,license,2025-07-16,2025-08-01,2027-07-31,40.67831,-73.97328,geoclient
Cafe & Market Corp.,,Cafe & Market Corp.,172 Schenectady Ave,11213,,,0081-26-147559,Grocery Store,0081,license,2026-07-02,2026-07-02,2029-06-30,40.67328,-73.93347,pip
CAFE IMAEL LLC,,CAFE IMAEL LLC,1090 Saint Johns Pl,11213,,,0240-25-131125,Restaurant,0240,license,2025-12-08,2025-12-08,2027-11-30,40.67119,-73.94235,pip
CAFE RUE DIX,CAFE RUE DIX,ALEXANDER AND DIAGNE LLC,1451 BEDFORD AVE,11216,,,0340-23-134838,Restaurant,0340,license,2025-05-20,2025-06-01,2027-05-31,40.67352,-73.95403,pip
Cain Sloan LLC,,Cain Sloan LLC,585 Dean St,11238,,,0524-26-46940,Temporary retail,0524,temporary,2026-06-24,2026-06-24,2026-12-21,40.68068,-73.97032,pip
CAIRO GROCERY CORP,,CAIRO GROCERY CORP,1367 STERLING PL,11213,,,0081-22-131522,Grocery Store,0081,license,2025-05-06,2025-07-01,2028-06-30,40.6716,-73.93329,pip
CARIBSOULBK,CARIBSOULBK,1000 ATLANTIS INC,662 WASHINGTON AVE,11238,,,0340-22-111056,Restaurant,0340,license,2025-02-07,2025-02-07,2027-01-31,40.67836,-73.96386,pip
CAS WEST INDIAN & AMERICAN RESTAURANT,CAS WEST INDIAN & AMERICAN RESTAURANT,HEZEKIAH CASTLE & MARION E CASTLE,135 KINGSTON AVE,11213,,,0240-22-102097,Restaurant,0240,license,2026-03-21,2026-04-01,2028-03-31,40.67526,-73.94163,pip
CENT'ANNI,CENT'ANNI,SENZA FAME LLC,742 FRANKLIN AVE,11238,https://www.centannibrooklyn.com,/liquor/logos/a4c3fb2baf37.png,0340-23-137818,Restaurant,0340,license,2025-05-20,2025-06-01,2027-05-31,40.67306,-73.95709,pip
CEPEDA GROCERY,CEPEDA GROCERY,NELSON CEPEDA,746 WASHINGTON AVENUE,11238,,,0081-22-131317,Grocery Store,0081,license,2025-05-28,2025-06-01,2028-05-31,40.6758,-73.96339,pip
CHAVELAS,CHAVELAS,BIANCHIBK LLC,736 FRANKLIN AVENUE,11238,,,0340-23-137671,Restaurant,0340,license,2025-08-13,2025-08-13,2027-07-31,40.67343,-73.95696,pip
CHERYL'S,CHERYL'S,GO SKY COM INC,236 UNDERHILL AVENUE,11238,https://cherylsglobalsoul.com/,/liquor/logos/d9f0ae31f0e2.png,0340-22-105111,Restaurant,0340,license,2024-09-22,2024-10-01,2026-09-30,40.67354,-73.96724,geoclient
CHIPOTLE MEXICAN GRILL #4501,CHIPOTLE MEXICAN GRILL #4501,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,250 UTICA AVE,11213,,,0240-24-101495,Restaurant,0240,license,2025-12-23,2026-01-01,2027-12-31,40.6699,-73.93101,pip
COLINA CUERVO,COLINA CUERVO,CUATRO RIOS LLC,759 NOSTRAND AVE,11216,,,0240-22-102224,Restaurant,0240,license,2024-11-01,2024-11-01,2026-10-31,40.6714,-73.95036,pip
Cordelia,Cordelia,Cordelia Brooklyn LLC,942 Bergen St,11238,https://www.wordofmouthbk.com,/liquor/logos/440a5b735737.png,0267-24-133016,Food & Beverage Business,0267,license,2024-10-17,2024-10-17,2026-09-30,40.67683,-73.95591,pip
COVENHOVEN,COVENHOVEN,PLUTO INC,730 CLASSON AVE,11238,https://www.covenhovennyc.com,/liquor/logos/7901abd86b63.png,0267-23-134188,Food & Beverage Business,0267,license,2025-08-26,2025-09-01,2027-08-31,40.67519,-73.95995,pip
CREATIVE SQUARE STUDIOS BK INC,,CREATIVE SQUARE STUDIOS BK INC,154 UTICA AVE,11213,,,0267-22-109220,Food & Beverage Business,0267,license,2024-10-22,2024-11-01,2026-10-31,40.67368,-73.93065,pip
CROWN HEIGHTS DELI GROCERY INC,,CROWN HEIGHTS DELI GROCERY INC,117 ROGERS AVE,11216,,,0081-23-112482,Grocery Store,0081,license,2026-07-16,2026-08-01,2029-07-31,40.67346,-73.95293,pip
CROWN HEIGHTS MOZZARELLA INC,,CROWN HEIGHTS MOZZARELLA INC,265 TROY AVE,11213,,,0340-22-113524,Restaurant,0340,license,2026-07-24,2026-08-01,2028-07-31,40.67016,-73.93655,pip
CROWN HEIGHTS PIZZA,CROWN HEIGHTS PIZZA,CROWN HEIGHTS PIZZA LLC,563 LINCOLN PL,11238,,,0267-23-133343,Food & Beverage Business,0267,license,2025-04-11,2025-05-01,2027-04-30,40.67162,-73.95805,pip
CROWN HEIGHTS WINE & LIQUOR INC,,CROWN HEIGHTS WINE & LIQUOR INC,1524 SAINT JOHN PL,11213,,,0100-21-113896,Liquor Store,0100,license,2024-11-07,2024-12-01,2027-11-30,40.67042,-73.92791,pip
