lic,name,entity,address,zip,cd,cb,codes,bakery,prep,sqft,lat,lng,geocoded
618194,Fu Chun Supermarket,Fu Chun Supermarket Inc,5114 8Th Ave  ###,11220,312,BKCB12,AC,False,True,1400,40.64025,-74.0046,False
618166,Grace Food Town,Hong Young Suk,2326 Bath Ave,11214,311,BKCB11,AC,False,True,1000,40.59653,-73.99441,False
618151,Walgreens #10941,Walgreen Eastern Co Inc,3000 Church Ave,11226,317,BKCB17,A,False,False,9976,40.65082,-73.94923,False
618134,Tonys Meats Retail,Tonys Meats Retail Inc,1054 Nostrand Ave,11225,309,BKCB9,AC,False,True,1000,40.66253,-73.9508,False
618129,Family Dollar #7005,Family Dollar Stores Of New York Llc,548 Lefferts Ave,11225,309,BKCB9,A,False,False,2500,40.66281,-73.9432,False
618127,Family Dollar #6960,Family Dollar Stores Of New York Llc,455 Dumont Ave,11212,316,BKCB16,A,False,False,7867,40.6652,-73.90213,False
618126,Mazzolas Bakery,Mazzola Bakery Inc,192-194 Union St,11231,306,BKCB6,ABHK,True,False,5000,40.68343,-73.99958,False
618101,Cvs 02441,Cvs Albany Llc,2151 86Th St###,11214,311,BKCB11,A,False,False,10000,40.60243,-73.99467,False
618087,International Deli,International Deli Corp,4017 14Th Ave,11218,312,BKCB12,AC,False,True,4500,40.63835,-73.98508,False
618083,Mountain Fruit Of Ave M,Mountain Fruit Of Ave M Inc,1523 Avenue M,11230,314,BKCB14,AC,False,True,10500,40.6181,-73.95923,False
618080,Family Dollar #6604,Family Dollar Stores Of New York Llc,308 Franklin Ave,11238,303,BKCB3,A,False,False,5000,40.68861,-73.95715,False
618073,Family Dollar #6602,Family Dollar Stores Of New York Llc,2010 Atlantic Ave,11233,316,BKCB16,A,False,False,7500,40.67658,-73.92079,False
618072,Family Dollar #6481,Family Dollar Stores Of New York Llc,830 Rockaway Ave,11212,316,BKCB16,A,False,False,6500,40.65927,-73.90807,False
618070,Target Store T-1401,Target Corporation,519 Gateway Dr,11239,305,BKCB5,AC,False,True,123000,40.65257,-73.86975,False
618066,Family Dollar #6368,Family Dollar Stores Of New York Llc,887 E New York Ave,11203,309,BKCB9,A,False,False,1500,40.66276,-73.93272,False
618059,Ambrosia Health Foods,Ambrosia Health 7 Ways To Nature Health,3306 Church Ave,11203,317,BKCB17,AC,False,True,1800,40.65095,-73.94634,False
618052,Family Dollar #6185,Family Dollar Stores Of New York Llc,903 Knickerbocker Ave,11207,304,BKCB4,A,False,False,4000,40.69073,-73.90416,False
618051,Brooklyn Minimart,Brooklyn Minimart Inc,1011 Foster Ave,11230,314,BKCB14,A,False,False,1000,40.6321,-73.96714,False
618047,Family Dollar #6184,Family Dollar Stores Of New York Llc,384 Mother Gaston Blvd,11212,316,BKCB16,A,False,False,6500,40.66962,-73.90687,False
618042,Family Dollar #5791,Family Dollar Stores Of New York Llc,895 Dekalb Ave,11221,303,BKCB3,A,False,False,5000,40.69257,-73.94083,False
618039,Family Dollar #5751,Family Dollar Stores Of New York Llc,1317 Broadway,11221,304,BKCB4,A,False,False,5000,40.69034,-73.92352,False
618006,Family Dollar #7069,Family Dollar Stores Of New York Llc,1165A Broadway,11221,304,BKCB4,A,False,False,6000,40.69285,-73.92794,False
617996,Smith + 9Th St Dli Grcy,Smith & 9Th St Deli Grocery Inc,3-5 9Th St,11231,306,BKCB6,AC,False,True,1200,40.67462,-73.99758,False
617985,Rosner 2 Grocery,Dashen Inc,17 Avenue F,11218,312,BKCB12,A,False,False,1000,40.63312,-73.97788,False
617976,2604 Family Deli Grcy,2604 Family Deli Grocery Corp,2604 Church Ave,11226,317,BKCB17,AC,False,True,2500,40.65066,-73.95277,False
617965,Lucky 5,Verrazano Seafood Corp,7620 5Th Ave,11209,310,BKCB10,AC,False,True,1200,40.62824,-74.02316,False
617932,Grandmas Bakery,Grandmas Baked Goods Inc,7208 13Th Ave,11228,310,BKCB10,AB,True,False,2000,40.6218,-74.00585,False
617920,Rosner Grocery,Kol Tov Grocery Inc,4423 14Th Ave,11219,312,BKCB12,A,False,False,1200,40.63603,-73.9875,False
617916,Daris Grocery,Nunez Maria,3417 Fulton St. ###,11208,305,BKCB5,AC,False,True,1500,40.68437,-73.8696,False
617905,Kims Family Farm,Dae Kil Family Farm Corp,8027 Flatlands Ave,11236,318,BKCB18,AC,False,True,1800,40.63593,-73.91262,False
617894,Cherry Hill Gourmet,Cherry Hill Gourmet Management Llc,1901 Emmons Ave,11235,315,BKCB15,AC,False,True,12000,40.58413,-73.94917,False
