month,Brooklyn,Manhattan,NYC,Queens
2023-07,3247,3846,3445,2533
2023-08,3271,3864,3463,2547
2023-09,3286,3861,3466,2549
2023-10,3287,3843,3457,2552
2023-11,3278,3819,3442,2550
2023-12,3262,3801,3429,2552
2024-01,3266,3798,3429,2552
2024-02,3277,3809,3439,2558
2024-03,3295,3832,3458,2568
2024-04,3315,3863,3482,2576
2024-05,3332,3904,3510,2591
2024-06,3356,3941,3539,2608
2024-07,3378,3972,3564,2621
2024-08,3392,3994,3582,2638
2024-09,3398,3996,3585,2641
2024-10,3393,3985,3579,2644
2024-11,3384,3975,3571,2638
2024-12,3383,3965,3567,2640
2025-01,3394,3969,3573,2640
2025-02,3401,3988,3585,2644
2025-03,3422,4023,3610,2653
2025-04,3451,4060,3639,2657
2025-05,3481,4103,3672,2666
2025-06,3509,4148,3707,2682
2025-07,3530,4191,3740,2709
2025-08,3553,4229,3771,2732
2025-09,3571,4254,3791,2743
2025-10,3570,4251,3790,2744
2025-11,3565,4241,3784,2747
2025-12,3556,4234,3776,2747
2026-01,3566,4231,3777,2741
2026-02,3573,4250,3788,2740
2026-03,3586,4282,3810,2753
2026-04,3610,4323,3842,2774
2026-05,3639,4370,3878,2788
2026-06,3664,4424,3918,2805
2026-07,3694,4474,3956,2821
