display_name,dba,legal_name,address,zip,website,logo,license_id,license_description,class,type,original_issue,effective,expires,lat,lon,assignment_method
109 Belmont Grocery Corp,,109 Belmont Grocery Corp,109 Belmont Ave,11212,,,0081-25-121357,Grocery Store,0081,license,2025-08-30,2025-08-30,2028-07-31,40.66906,-73.90613,pip
277 Top Deli Corporation,,277 Top Deli Corporation,277 Sutter Ave,11212,,,0081-25-113374,Grocery Store,0081,license,2025-06-11,2025-06-11,2028-05-31,40.66721,-73.90977,pip
51 DELI & GROCERY NYC INC,,51 DELI & GROCERY NYC INC,51 HEGEMAN AVE,11212,,,0081-21-104267,Grocery Store,0081,license,2024-05-17,2024-05-17,2027-04-30,40.65582,-73.91034,pip
A & J MEAT MARKET NY CORP,,A & J MEAT MARKET NY CORP,670 ROCKAWAY AVE,11212,,,0081-24-109944,Grocery Store,0081,license,2024-04-15,2024-04-15,2027-03-31,40.6635,-73.90917,pip
ABREU'S GROCERY STORE,ABREU'S GROCERY STORE,MARINO ANTONIO ABREU,65 SACKMAN STREET,11233,,,0071-23-130050,Grocery Store,0071,license,2026-02-03,2026-03-01,2029-02-28,40.67741,-73.906,pip
ABUELA ANTONIA RESTAURANT INC,,ABUELA ANTONIA RESTAURANT INC,225 ROCKAWAY AVE,11233,,,0340-23-130401,Restaurant,0340,license,2025-06-04,2025-07-01,2027-06-30,40.67499,-73.91105,pip
ACES BEER & SODA DISTRIBUTORS INC,,ACES BEER & SODA DISTRIBUTORS INC,2397 DEAN ST,11233,,,0001-23-141695,Wholesale Beer (Retail),0001,license,2026-05-14,2026-07-01,2027-06-30,40.67458,-73.90778,pip
ADELAY DELI GROCERY,ADELAY DELI GROCERY,ADELAY DELI GROCERY INC,1861 PITKIN AVE,11212,,,0081-22-134985,Grocery Store,0081,license,2025-04-22,2025-05-01,2028-04-30,40.67069,-73.90406,pip
AFRICAN PRIDE RESTAURANT,AFRICAN PRIDE RESTAURANT,AFRICAN PRIDE RESTAURANT INC.,1895 EASTERN PARKWAY,11233,https://africanpriderestaurant.com,/liquor/logos/024efe7a51be.png,0240-23-139669,Restaurant,0240,license,2025-04-03,2025-04-03,2027-03-31,40.67717,-73.90803,pip
ALEMAN DELI CORP,,ALEMAN DELI CORP,1466 PITKIN AVE,11212,,,0081-23-120174,Grocery Store,0081,license,2023-09-29,2023-11-01,2026-10-31,40.66837,-73.9196,pip
ALEX DELI FOOD CORP,,ALEX DELI FOOD CORP,1872 BERGEN ST,11233,,,0081-22-134981,Grocery Store,0081,license,2025-06-20,2025-07-01,2028-06-30,40.67443,-73.91931,pip
ALL NIGHT SKATE,ALL NIGHT SKATE,ALL NIGHT SKATE INC,54 ROCKAWAY AVE,11233,,,0340-22-108859,Restaurant,0340,license,2026-06-01,2026-07-01,2028-06-30,40.68188,-73.91155,pip
ANGEL DELI FOOD CORP,,ANGEL DELI FOOD CORP,713 DECATUR ST,11233,,,0081-22-127764,Grocery Store,0081,license,2025-11-18,2026-01-01,2028-12-31,40.68359,-73.91476,pip
ANJ ISLAND CORP,,ANJ ISLAND CORP,1412 EASTERN PKW,11233,,,0081-23-102553,Grocery Store,0081,license,2023-10-05,2023-11-01,2026-10-31,40.66874,-73.92162,pip
ASSOCIATED,ASSOCIATED,LA JOYA FOOD MARKET CORP,103 HEGEMAN AVE,11212,,,0081-23-122622,Grocery Store,0081,license,2026-05-18,2026-06-01,2029-05-31,40.65618,-73.90795,pip
Baez Grocery Deli Corporation,,Baez Grocery Deli Corporation,1797 Prospect Pl,11233,,,0081-24-139497,Grocery Store,0081,license,2024-12-18,2024-12-18,2027-11-30,40.67249,-73.91657,pip
BIG CORNER DELI GROCERY INC,,BIG CORNER DELI GROCERY INC,2314 STRAUSS ST,11212,,,0081-24-110999,Grocery Store,0081,license,2024-04-24,2024-04-24,2027-03-31,40.65631,-73.91324,geoclient
BLAS MINIMARKET CORP,,BLAS MINIMARKET CORP,1697 E NEW YORK AVE,11212,,,0081-20-106682,Grocery Store,0081,license,2023-11-06,2023-11-06,2026-10-31,40.67462,-73.90551,pip
BLESSING FOOD CORP,BLESSING FOOD CORP,BLESSING FOOD CORP,578 ROCKAWAY AVE,11212,,,0081-20-109866,Grocery Store,0081,license,2023-12-31,2024-01-01,2026-12-31,40.66589,-73.90975,pip
BROOKLYN FINEST DELI GROCERY INC,,BROOKLYN FINEST DELI GROCERY INC,483 RALPH AVE,11233,,,0081-23-104387,Grocery Store,0081,license,2026-07-22,2026-09-01,2029-08-31,40.67265,-73.92223,geoclient
BROOKLYN KRISP FOOD MARKET,BROOKLYN KRISP FOOD MARKET,GGJ & G FOOD CORP,800 ROCKAWAY AVE,11212,,,0081-24-107617,Grocery Store,0081,license,2024-03-24,2024-03-24,2027-02-28,40.66026,-73.90834,pip
BROTHER'S DELI #2,BROTHER'S DELI #2,YASSER A OMAR,669 E 98TH ST,11236,,,0081-21-110532,Grocery Store,0081,license,2024-05-31,2024-06-01,2027-05-31,40.65345,-73.91008,geoclient
BROWNSVILLE DELI & GROCERY INC,,BROWNSVILLE DELI & GROCERY INC,784 SARATOGA AVE,11212,,,0081-21-109012,Grocery Store,0081,license,2024-01-16,2024-02-01,2027-01-31,40.6614,-73.91544,pip
Brownsville Gourmet Deli Plus Corp,,Brownsville Gourmet Deli Plus Corp,489 Rockaway Ave Store # 5,11212,,,0081-25-108139,Grocery Store,0081,license,2025-04-24,2025-04-24,2028-03-31,40.6679,-73.91011,pip
BUKI DELI GROCERY CORP,,BUKI DELI GROCERY CORP,430 MOTHER GASTON BLVD,11212,,,0081-23-159986,Grocery Store,0081,license,2023-10-31,2023-10-31,2026-09-30,40.66852,-73.90656,pip
CABA DELI GROCERY CORPORATION,,CABA DELI GROCERY CORPORATION,1419 E NEW YORK AVE,11212,,,0081-22-128599,Grocery Store,0081,license,2025-07-16,2025-08-01,2028-07-31,40.67026,-73.91552,pip
Camila Mini Market Food Corp,,Camila Mini Market Food Corp,689 Ralph Ave,11212,,,0081-25-125953,Grocery Store,0081,license,2025-10-14,2025-10-14,2028-09-30,40.66596,-73.92247,pip
Chawki Deli Grocery Corp.,,Chawki Deli Grocery Corp.,441 Sutter Ave,11212,,,0081-26-149681,Grocery Store,0081,license,2026-07-23,2026-07-23,2029-06-30,40.66823,-73.9028,pip
CHELA FOODS MARKET CORP,,CHELA FOODS MARKET CORP,44 NEW LOTS AVE,11212,,,0081-23-119967,Grocery Store,0081,license,2025-12-09,2026-02-01,2029-01-31,40.65722,-73.90348,pip
Chipotle Mexican Grill #4872,Chipotle Mexican Grill #4872,"Chipotle Mexican Grill of Colorado, LLC",1510 Broadway,11221,,,0240-26-135286,Restaurant,0240,license,2026-02-11,2026-02-11,2028-01-31,40.68686,-73.91748,geoclient
CHRIS GROCERY DELI INC,,CHRIS GROCERY DELI INC,59 ROCKAWAY AVE,11233,,,0081-22-129163,Grocery Store,0081,license,2025-02-11,2025-02-11,2028-01-31,40.68108,-73.91138,pip
Dac's Grocery Corp.,,Dac's Grocery Corp.,39 Lott Ave,11212,,,0081-26-134511,Grocery Store,0081,license,2026-01-29,2026-01-29,2028-12-31,40.65722,-73.91259,pip
DOLLAR GENERAL STORE #19216,DOLLAR GENERAL STORE #19216,DOLGEN NEW YORK LLC,226 MOTHER GASTON BLVD,11233,https://www.dollargeneral.com/store-directory/ny/brooklyn/19216,,0071-22-105663,Grocery Store,0071,license,2025-11-14,2025-11-14,2028-08-31,40.67361,-73.9084,pip
Double A Deli Corp.,,Double A Deli Corp.,1634 Eastern Pkwy,11233,,,0071-26-139355,Grocery Store,0071,license,2026-04-06,2026-04-06,2029-03-31,40.67186,-73.91406,pip
"EASTERN PARKWAY DELI INC, THE",,"EASTERN PARKWAY DELI INC, THE",2009 EASTERN PWKY,11233,,,0081-24-111321,Grocery Store,0081,license,2024-04-26,2024-04-26,2027-03-31,40.67988,-73.90576,pip
EL CHULO GROCERY,EL CHULO GROCERY,3 SISTERS DELI GROCERY NY CORP,269 DUMONT AVENUE,11212,,,0071-22-109686,Grocery Store,0071,license,2025-09-30,2025-10-01,2028-09-30,40.66406,-73.90956,pip
EL SAZON DELI GROCERY INC,,EL SAZON DELI GROCERY INC,2096 FULTON ST,11233,,,0081-21-109084,Grocery Store,0081,license,2024-07-18,2024-08-01,2027-07-31,40.67841,-73.91328,pip
Eleganza 79 Inc.,,Eleganza 79 Inc.,79 Livonia Ave,11212,,,0524-26-46741,Temporary retail,0524,temporary,2026-06-23,2026-06-23,2026-12-20,40.66158,-73.91533,pip
Elena Master Grocery Corp,,Elena Master Grocery Corp,1801 Pitkin Ave,11212,,,0081-26-135895,Grocery Store,0081,license,2026-02-20,2026-02-20,2029-01-31,40.67034,-73.90645,pip
ENDIASIA CORPORATION,,ENDIASIA CORPORATION,1661 St Johns Place,11233,,,0081-24-127751,Grocery Store,0081,license,2024-09-10,2024-09-10,2027-08-31,40.67009,-73.92181,pip
FINE FARE SUPERMARKET,FINE FARE SUPERMARKET,FR-ES PRODUCE INC,381 MOTHER GASTON BLVD,11212,https://finefare381.com/,/liquor/logos/d76a0802a0d5.png,0081-22-131223,Grocery Store,0081,license,2025-02-10,2025-03-01,2028-02-29,40.66963,-73.90688,pip
Flames Jerk Bar & Grill LLC,,Flames Jerk Bar & Grill LLC,622 Chester St,11212,,,0340-26-146534,Restaurant,0340,license,2026-06-22,2026-06-22,2028-05-31,40.65626,-73.90827,pip
Flamin' Chicken & Pizza,Flamin' Chicken & Pizza,The Chicken Spot and Pizza Corp.,1595 Broadway #2,11207,,,0240-26-134720,Restaurant,0240,license,2026-02-03,2026-02-03,2028-01-31,40.68545,-73.91501,pip
FOOD BAZAAR,FOOD BAZAAR,BOGOPA JUNIUS INC,417 JUNIUS STREET,11212,,,0081-22-136804,Grocery Store,0081,license,2025-10-29,2025-12-01,2028-11-30,40.6643,-73.90159,pip
FOOD BAZAAR,FOOD BAZAAR,BOGOPA ST JOHN S INC,1682 ST JOHN S PLACE,11233,,,0081-21-113540,Grocery Store,0081,license,2024-08-08,2024-09-01,2027-08-31,40.67008,-73.92155,pip
GASTON FOOD CENTER CORP,,GASTON FOOD CENTER CORP,16 MOTHER GASTON BLVD,11233,,,0081-22-127482,Grocery Store,0081,license,2025-09-08,2025-10-01,2028-09-30,40.68182,-73.90877,geoclient
GAYLE'S THRILL & GRILL INC,,GAYLE'S THRILL & GRILL INC,140 LOTT AVE,11212,,,0340-22-111246,Restaurant,0340,license,2026-03-30,2026-04-01,2028-03-31,40.65786,-73.90831,pip
GREEN VILLAGE SUPERMARKET,GREEN VILLAGE SUPERMARKET,TAPSCOTT FINEST MEAT CORP,229 TAPSCOTT ST,11212,,,0081-23-106126,Grocery Store,0081,license,2026-08-07,2026-09-01,2029-08-31,40.66213,-73.91958,geoclient
GS DELI N GROCERY CORP,,GS DELI N GROCERY CORP,367 ROCKAWAY AVE,11212,,,0081-23-112469,Grocery Store,0081,license,2026-08-20,2026-10-01,2029-09-30,40.67107,-73.91109,pip
Hegeman Convenience Store,Hegeman Convenience Store,Hegeman Convenience Corp,622 Chester St,11212,,,0081-26-133829,Grocery Store,0081,license,2026-01-20,2026-01-20,2028-12-31,40.65626,-73.90827,pip
IDEAL FOOD BASKET,IDEAL FOOD BASKET,ALMOND FRUIT CORP,1488 PITKIN AVENUE,11212,https://www.idealfoodbaskets.com,/liquor/logos/ff9e4f01f4c0.png,0081-21-109551,Grocery Store,0081,license,2024-12-05,2025-01-01,2027-12-31,40.66848,-73.91886,pip
IMANI DELI GROCERY CORP,,IMANI DELI GROCERY CORP,446B MOTHER GASTON BLVD,11212,,,0071-21-121087,Grocery Store,0071,license,2024-04-23,2024-04-23,2027-03-31,40.6682,-73.90648,pip
J & D DELI GROCERY NY CORP,,J & D DELI GROCERY NY CORP,448 HERZL ST,11212,,,0081-22-131456,Grocery Store,0081,license,2025-03-06,2025-03-06,2028-02-29,40.65892,-73.91279,pip
J.M.L DELI CORP,,J.M.L DELI CORP,297 THOMAS S BOYLAND ST,11233,,,0081-23-103216,Grocery Store,0081,license,2026-01-23,2026-02-01,2029-01-31,40.67401,-73.91393,pip
